,0
2017-12-14 07:15:00,31.101614706814285
2017-12-14 08:15:00,52.220185341238974
2017-12-14 09:15:00,78.0727649873495
2017-12-14 10:15:00,81.54590710520743
2017-12-14 11:15:00,64.92145793020724
2017-12-14 12:15:00,49.80312784671783
2017-12-14 13:15:00,43.282694830000395
2017-12-14 14:15:00,44.701110583841796
2017-12-14 15:15:00,47.526222808957094
2017-12-14 16:15:00,56.234382759332654
2017-12-14 17:15:00,64.0182700818777
2017-12-14 18:15:00,63.84403153836727
2017-12-14 19:15:00,55.874790897965426
2017-12-14 20:15:00,46.99867403298616
2017-12-14 21:15:00,40.39961406290531
2017-12-14 22:15:00,34.77304428219795
2017-12-14 23:15:00,31.11722678869962
2017-12-15 00:15:00,31.61994692265987
2017-12-15 01:15:00,32.29214254260063
2017-12-15 02:15:00,33.102574883103365
2017-12-15 03:15:00,33.845325665473936
2017-12-15 04:15:00,31.563327572941777
2017-12-15 05:15:00,26.846557266712185
2017-12-15 06:15:00,24.057516952455043
2017-12-15 07:15:00,30.8287303507328
2017-12-15 08:15:00,50.031923987269394
2017-12-15 09:15:00,71.00562583267688
2017-12-15 10:15:00,67.69119778633117
2017-12-15 11:15:00,53.19938352763652
2017-12-15 12:15:00,43.611596947908396
2017-12-15 13:15:00,41.073602765202516
2017-12-15 14:15:00,44.668767933845515
2017-12-15 15:15:00,46.482803654968734
2017-12-15 16:15:00,52.34188131511211
2017-12-15 17:15:00,60.53070737659931
2017-12-15 18:15:00,62.30991232693195
2017-12-15 19:15:00,53.61897648036479
2017-12-15 20:15:00,47.63867593973875
2017-12-15 21:15:00,43.07111111193895
2017-12-15 22:15:00,36.65707738280296
2017-12-15 23:15:00,29.775478447079657
2017-12-16 00:15:00,28.672306429743763
2017-12-16 01:15:00,29.561686959862705
2017-12-16 02:15:00,30.678835674524304
2017-12-16 03:15:00,29.076777915954587
2017-12-16 04:15:00,28.162685557007787
2017-12-16 05:15:00,27.325736624002452
2017-12-16 06:15:00,28.111731646656988
2017-12-16 07:15:00,28.09859892457723
2017-12-16 08:15:00,29.566490902006624
2017-12-16 09:15:00,31.489203767776484
2017-12-16 10:15:00,30.630507140457627
2017-12-16 11:15:00,27.97331970632076
2017-12-16 12:15:00,24.986570159792898
2017-12-16 13:15:00,22.799707643687725
2017-12-16 14:15:00,21.271142899096013
2017-12-16 15:15:00,22.277707493901254
2017-12-16 16:15:00,30.120681844651696
2017-12-16 17:15:00,35.34421694129705
2017-12-16 18:15:00,33.2589001250267
2017-12-16 19:15:00,29.781158488094803
2017-12-16 20:15:00,29.74635107994079
2017-12-16 21:15:00,29.66419052779674
2017-12-16 22:15:00,28.05123409926891
2017-12-16 23:15:00,28.86121962934732
2017-12-17 00:15:00,31.817790490090843
2017-12-17 01:15:00,32.52037505954504
2017-12-17 02:15:00,30.03448539704084
2017-12-17 03:15:00,30.664201903045175
2017-12-17 04:15:00,30.47996415108442
2017-12-17 05:15:00,30.490982554554936
2017-12-17 06:15:00,30.534723250865934
2017-12-17 07:15:00,30.566461392641063
2017-12-17 08:15:00,33.03830134958029
2017-12-17 09:15:00,36.523559914827345
2017-12-17 10:15:00,39.944761050939555
2017-12-17 11:15:00,36.554001430273054
2017-12-17 12:15:00,30.938917305767532
2017-12-17 13:15:00,28.17691924333572
2017-12-17 14:15:00,34.479016740024086
2017-12-17 15:15:00,34.311521237492556
2017-12-17 16:15:00,37.082911079823965
2017-12-17 17:15:00,38.16228533148765
2017-12-17 18:15:00,35.323050392568106
2017-12-17 19:15:00,32.023124702870845
2017-12-17 20:15:00,29.298027924895283
2017-12-17 21:15:00,29.604601202905176
2017-12-17 22:15:00,30.474447648525235
2017-12-17 23:15:00,28.91436670720577
2017-12-18 00:15:00,28.636216996908185
2017-12-18 01:15:00,30.330638939142222
2017-12-18 02:15:00,32.41574841201305
2017-12-18 03:15:00,34.744579829871654
2017-12-18 04:15:00,33.4173163229227
2017-12-18 05:15:00,28.47139359593391
2017-12-18 06:15:00,25.600259897112842
2017-12-18 07:15:00,32.16931348085403
2017-12-18 08:15:00,53.45980683743953
2017-12-18 09:15:00,80.22357603490352
2017-12-18 10:15:00,81.54861133038997
2017-12-18 11:15:00,71.88652572572231
2017-12-18 12:15:00,60.49489245474338
2017-12-18 13:15:00,47.01709255158901
2017-12-18 14:15:00,45.697118187248705
2017-12-18 15:15:00,47.21872962713241
2017-12-18 16:15:00,52.522153259515754
2017-12-18 17:15:00,60.1527700048685
2017-12-18 18:15:00,63.037418988943095
2017-12-18 19:15:00,56.91785085141658
2017-12-18 20:15:00,49.43318633735179
2017-12-18 21:15:00,41.587919527888296
2017-12-18 22:15:00,35.904488010108466
2017-12-18 23:15:00,30.382159393429752
2017-12-19 00:15:00,29.43517828285694
2017-12-19 01:15:00,31.111094096601004
2017-12-19 02:15:00,32.93563716351986
2017-12-19 03:15:00,33.61293751955032
2017-12-19 04:15:00,29.11602714538574
2017-12-19 05:15:00,25.598904864192004
2017-12-19 06:15:00,24.737439764440058
2017-12-19 07:15:00,35.58265308976173
2017-12-19 08:15:00,58.07225713074207
2017-12-19 09:15:00,79.63523475825787
2017-12-19 10:15:00,74.46046916544437
2017-12-19 11:15:00,60.72457053482532
2017-12-19 12:15:00,47.46979036033153
2017-12-19 13:15:00,41.92982295304537
2017-12-19 14:15:00,43.67724011600017
2017-12-19 15:15:00,50.41883261144161
2017-12-19 16:15:00,61.418370752930635
2017-12-19 17:15:00,69.96974988996982
2017-12-19 18:15:00,65.15681313097477
2017-12-19 19:15:00,54.95834475338459
